Azienda,Settore,Dimensione,Livello,Contatto,Email,Tipo Contratto,Durata Contratto,Season,Commercial Value,Bonus Playoff,Net of Ticketing,Gameday Reconciliation,VB Reconciliaiton,CSR Reconciliation,Corp Tix Reconciliation,Sponsor Reconciliation,July,August,September,October,November,December,January,February,March,April,May,June
ERREÀ,,,,,,CM,Stagione,23/24,"80,000 €",,"76,276 €",805 €,,,"3,724 €","64,021 €",,,,,,,,,,,,
ESSE SOLAR,,,,,,CM,Stagione,23/24,"32,200 €",,"32,200 €",0 €,,,0 €,"32,080 €",,,,,,,,,,,,
F.LLI BADI,,,,,,CASH,Stagione,23/24,"17,000 €",,"14,357 €",485 €,,,"1,893 €","6,962 €",,,,,,,,,,,,
F.LLI BADI_CM,,,,,,CM,Stagione,23/24,"10,000 €",,"8,619 €",127 €,,,631 €,"6,719 €",,,,,,,,,,,,
FIL.VA,,,,,,CASH,Stagione,23/24,"8,000 €",,"8,000 €",973 €,,,0 €,"-6,600 €",,,,,,,,,,,,
FINAZZI,,,,,,CASH,Stagione,23/24,"7,000 €",,"5,738 €",275 €,,,"1,262 €","1,613 €",,,,,,,,,,,,
FNM,,,,,,CASH,Stagione,23/24,"45,000 €",,"38,908 €","1,450 €",,,"4,592 €","17,158 €",,,,,,,,,,,,
FRA DIAVOLO,,,,,,CASH,Stagione,23/24,"5,000 €",,"5,000 €",674 €,,,0 €,"-5,113 €",,,,,,,,,,,,
FRAGALE,,,,,,CM,Stagione,23/24,"2,500 €",,"2,500 €",116 €,,,0 €,763 €,,,,,,,,,,,,
GRAFICHE QUIRICI,,,,,,CM,Stagione,23/24,"7,000 €",,"3,442 €",108 €,,,"3,558 €","1,822 €",,,,,,,,,,,,
GRASSI,,,,,,CASH,Stagione,23/24,"10,000 €",,"10,000 €",0 €,,,0 €,"10,000 €",,,,,,,,,,,,
GRESSONEY - REGIONE VALLE D'AOSTA,,,,,,CASH,Stagione,23/24,"30,000 €",,"30,000 €","1,018 €",,,0 €,"14,725 €",,,,,,,,,,,,
IDROTECH VARESE,,,,,,CASH,Stagione,23/24,"5,350 €",,"2,494 €",202 €,,,"2,856 €",-531 €,,,,,,,,,,,,
INTERNET ONE,,,,,,CM,Stagione,23/24,"20,000 €",,"14,430 €",513 €,,,"4,820 €","6,490 €",,,,,,,,,,,,
INTESA SAN PAOLO,,,,,,CASH,Stagione,23/24,"200,000 €","10,000 €","180,008 €",0 €,,"20,000 €","19,242 €","159,648 €",,,,,,,,,,,,
IRCA,,,,,,CASH,Stagione,23/24,"100,000 €","5,000 €","67,476 €","1,918 €",,,"27,544 €","38,341 €",,,,,,,,,,,,
ISBER_CM,,,,,,CM,Stagione,23/24,"50,000 €",,"47,329 €",609 €,,,"2,296 €","38,192 €",,,,,,,,,,,,
ISBER,,,,,,CASH,Stagione,23/24,"15,000 €","5,000 €","11,954 €",614 €,,,"2,296 €","2,562 €",,,,,,,,,,,,
ITELYUM,,,,,,CASH,Stagione,23/24,"165,000 €","5,000 €","160,431 €","6,962 €",,,"3,444 €","55,826 €",,,,,,,,,,,,
LEDVANCE,,,,,,CM,Stagione,23/24,"17,000 €",,"15,572 €",545 €,,,"1,428 €","7,397 €",,,,,,,,,,,,
LINDT,,,,,,CASH,Stagione,23/24,0 €,,0 €,0 €,,,0 €,0 €,,,,,,,,,,,,
LIUC,,,,,,CASH,Stagione,23/24,"6,500 €","1,000 €","6,500 €",384 €,,,0 €,735 €,,,,,,,,,,,,
LOCAUTO RENT,,,,,,CASH,Stagione,23/24,"10,100 €","1,500 €","9,220 €",338 €,,,505 €,"4,145 €",,,,,,,,,,,,
MACCECHINI,,,,,,CM,Stagione,23/24,"3,000 €",,"2,402 €",0 €,,,598 €,"2,402 €",,,,,,,,,,,,
MACCHI VARESE,,,,,,CASH,Stagione,23/24,"4,500 €",,"3,429 €",180 €,,,"1,071 €",729 €,,,,,,,,,,,,
MAGHETTI,,,,,,CASH,Stagione,23/24,"15,000 €",,"11,954 €",740 €,,,"2,296 €",854 €,,,,,,,,,,,,
MANCUSO PIÙ,,,,,,CASH,Stagione,23/24,"4,000 €",,"4,000 €",327 €,,,0 €,-900 €,,,,,,,,,,,,
MARELLI & POZZI,,,,,,CM,Stagione,23/24,"12,000 €",,"11,250 €",0 €,,,0 €,"11,130 €",,,,,,,,,,,,
MAS AMOR,,,,,,CM,Stagione,23/24,"15,000 €",,"14,348 €",420 €,,,652 €,"8,048 €",,,,,,,,,,,,
MASTERPACK,,,,,,CASH,Stagione,23/24,"15,000 €",,"12,146 €",726 €,,,"2,854 €","1,251 €",,,,,,,,,,,,
NICOLA GALLI,,,,,,CASH,Stagione,23/24,"14,000 €",,"8,711 €",237 €,,,"3,444 €","4,621 €",,,,,,,,,,,,
NIPPO MOTORS,,,,,,CM,Stagione,23/24,"10,000 €",,"6,954 €",753 €,,,"2,296 €","-4,334 €",,,,,,,,,,,,
NOVELLO,,,,,,CASH,Stagione,23/24,"15,000 €","2,000 €","15,000 €",887 €,,,0 €,"1,700 €",,,,,,,,,,,,
NUTRITION & SANTE - ISOSTAD_CM,,,,,,CM,Stagione,23/24,"7,500 €",,"7,500 €",0 €,,,0 €,"7,500 €",,,,,,,,,,,,
NUTRITION & SANTE - ISOSTAD,,,,,,CASH,Stagione,23/24,"2,500 €","1,000 €","2,500 €",180 €,,,0 €,-200 €,,,,,,,,,,,,
OPENJOBMETIS,,,,,,CASH,Stagione,23/24,,,"354,636 €","10,122 €",,,"36,139 €",,,,,,,,,,,,,
ORGOGLIO VARESE,,,,,,CASH,Stagione,23/24,"80,000 €",,"78,500 €",0 €,,,0 €,"78,500 €",,,,,,,,,,,,
PELLIGRA ITALIA,,,,,,CASH,Stagione,23/24,"138,462 €",,"138,462 €","4,370 €",,,0 €,"72,912 €",,,,,,,,,,,,
POZZI,,,,,,CASH,Stagione,23/24,"6,000 €",,"3,704 €",686 €,,,"2,296 €","-6,584 €",,,,,,,,,,,,
PUBBLYTEAM,,,,,,CASH,Stagione,23/24,"10,000 €",,"8,477 €",570 €,,,"1,148 €",-73 €,,,,,,,,,,,,
PREVCOM,,,,,,CASH,Stagione,23/24,"500,000 €",,"476,964 €","2,900 €","250,000 €",,"19,346 €","182,919 €",,,,,,,,,,,,
RB ALBERGHIERA,,,,,,CM,Stagione,23/24,"5,000 €",,"5,000 €",0 €,,,0 €,"5,000 €",,,,,,,,,,,,
