Azienda,Settore,Dimensione,Livello,Contatto,Email,Tipo Contratto,Durata Contratto,Season,Commercial Value,Bonus Playoff,Net of Ticketing,Gameday Reconciliation,VB Reconciliaiton,CSR Reconciliation,Corp Tix Reconciliation,Sponsor Reconciliation,Delta,July,August,September,October,November,December,January,February,March,April,May,June
INTESA SAN PAOLO,Finanziario/Bancario,Grande,Nazionale,,,CASH,Stagione,24/25,180.000 €,,160.958 €,2.575 €,,20.000 €,18.292 €,101.973 €,116.198 €,,,,,,,,,,,,
INTRED,ISP,Media,Regionale,,,CM,Stagione,24/25,38.329 €,,36.033 €,1.872 €,,,2.296 €,7.953 €,7.028 €,,,,,,,,,,,,
IRCA,Industria,Grande,Nazionale,,,CASH,Stagione,24/25,100.000 €,5.000 €,67.476 €,1.918 €,,,27.544 €,38.341 €,21.316 €,,,40.000 €,,,30.000 €,,,30.000 €,,,
ISBER,Medico,Piccola,Locale,,,CASH,Stagione,24/25,14.754 €,4.098 €,9.412 €,0 €,2.459 €,,4.592 €,6.653 €,9.112 €,,,,,,,,,,,,
ISBER_CM,Medico,Piccola,Locale,,,CM,Stagione,24/25,28.689 €,,28.689 €,1.366 €,,,0 €,8.201 €,7.701 €,,,,,,,,,,,,
ITELYUM,Rifiuti,Grande,Nazionale,,,CASH,Stagione,24/25,165.000 €,5.000 €,160.431 €,6.962 €,,,3.444 €,55.826 €,-12.599 €,,,50.000 €,,,50.000 €,,,50.000 €,,15.000 €,
LIUC,Scolastico/Corsi,Media,Nazionale,,,CASH,Stagione,24/25,6.500 €,,6.500 €,30 €,,,0 €,6.050 €,5.600 €,,,6.500 €,,,,,,,,,
LOCAUTO,Automotive,Grande,Nazionale,,,CASH,Stagione,24/25,10.100 €,1.500 €,9.595 €,583 €,,,505 €,845 €,345 €,,,,,,10.100 €,,,,,,
MACCECHINI,Commercio/GDO,Piccola,Locale,,,CM,Stagione,24/25,3.000 €,,2.402 €,80 €,,,598 €,1.082 €,1.082 €,,,,,,,,,,,,
MACCHI VARESE,Commercio/GDO,Piccola,Locale,,,CASH,Stagione,24/25,4.500 €,700 €,3.429 €,95 €,,,1.071 €,2.004 €,1.929 €,,,1.500 €,1.500 €,1.500 €,,,,,,,
MAGHETTI,Servizi/Artigiano,Piccola,Locale,,,CASH,Stagione,24/25,16.000 €,,9.908 €,745 €,,,4.592 €,-1.387 €,-1.462 €,,,5.000 €,,,,5.000 €,6.000 €,,,,
MALPENSA 24,Media,Piccola,Locale,,,CM,Stagione,24/25,7.500 €,,7.500 €,81 €,,,0 €,6.290 €,6.040 €,,,,,,,,,,,,
MARANGON,,,,,,CASH,Metà Stagione,24/25,3.000 €,,3.000 €,132 €,,,0 €,1.020 €,1.731 €,,,,,,,1.000 €,1.000 €,1.000 €,,,
MAS AMOR,Ho.Re.Ca.,Piccola,Locale,,,CM,Stagione,24/25,20.000 €,,19.348 €,486 €,,,652 €,12.060 €,11.560 €,,,,,,,,,,,,
MASTERPACK,Industria,Grande,Nazionale,,,CASH,Stagione,24/25,15.000 €,2.500 €,10.179 €,573 €,,,4.071 €,1.459 €,959 €,,,,15.000 €,,,,,,,,
MAZZUCHELLI,Commercio/GDO,Piccola,Locale,,,CASH,Anno Solare,24/25,6.750 €,,6.750 €,516 €,,,0 €,-988 €,-1.488 €,,,2.500 €,,,2.500 €,,,,,,
MEDIBRAND,Medico,Piccola,Nazionale,,,CM,Stagione,24/25,17.000 €,,13.556 €,335 €,,,3.444 €,8.531 €,8.006 €,,,,,,,,,,,,
MOTOROLA ,Elettronica,Grande,Internazionale,,,CASH,Stagione,24/25,130.000 €,10.000 €,117.816 €,2.572 €,,,9.184 €,78.761 €,71.736 €,,,,,,70.000 €,,,60.000 €,,,
NIPPO MOTORS_CM,Automotive,Media,Locale,,,CASH,Stagione,24/25,10.000 €,,6.954 €,458 €,,,2.296 €,-29 €,-104 €,,,,,,7.000 €,,,,,,3.000 €
NIPPO MOTORS,Automotive,Media,Locale,,,CM,Stagione,24/25,3.000 €,,3.000 €,0 €,,,0 €,3.000 €,3.000 €,,,,,,,,,,,,
